1;Уха;У рыбы удалить чешую, внутренности и жабры. Рыбу хорошо промыть, посолить. Картофелины очистить, вымыть, разрезать пополам или на четвертинки. Очистить, вымыть лук и морковь. Лук крупно нарезать. Морковь нарезать соломкой. Лук зеленый вымыть, нарезать мелко. В кастрюлю положить картофель, лук и целиком рыбу. Все залить водой, добавить соль, пряности и варить на медленном огне 30-40 минут. Простой рыбный суп (рыбацкая уха) готов. Готовую уху посыпать зеленью.;RussianFood.com
2;Сёмга запечённая;Семгу очищаем от костей и шелухи. Делаем глубокий надрез и складываем вдвое. На пергамент наливаем немного растительного масла, сверху кладем семгу и солим со всех сторон. Ставим запекаться семгу в заранее разогретую духовку (температура - 190 градусов) на 6 минут. Тем временем приготовим соус. Лук нарезаем средними кубиками. На разогретой сковородке на растительном масле обжариваем репчатый лук до золотистой корочки. Затем добавляем белое сухое вино. Выпариваем спирт и добавляем лавровый лист, перец черный горошком и сливки. Перемешиваем, добавляем горчицу и соль. Даем прокипеть соусу 2 минуты и снимаем с огня. Процеживаем сливочный соус через сито. Подаем сливочный соус к запеченной семге. Семга, запеченная в духовке, со сливочным соусом готова.;RussianFood.com
3;Салат с рыбой и макаронами;Макароны отварить. Помидоры и сыр нарезать крупными кусочками. Добавляем тунец с маслом. Туда же мелко нарезанную зелень. Перемешать и готово!;cookpad.com
4;Рыбные котлеты;Рыбное филе промыть и нарезать кусками. Лук репчатый очистить, вымыть и разрезать на 4 части. Белый хлеб замочить в молоке. Пропустить через мясорубку рыбу, хлеб и лук. Посолить, поперчить, добавить куриные яйца. Хорошо вымешать фарш. Разогреть сковороду, налить растительное масло. Влажными руками сформировать котлеты, выложить в горячее масло. Жарить котлеты из рыбы с двух сторон на среднем огне до золотистого цвета. Котлеты из рыбы готовы.;RussianFood.com
5;Камбала жареная;Смешать муку с солью и перцем. Очистить камбалу и обвалять ее в муке. Если у нее есть икра — вынуть. Икру следует жарить отдельно, если жарить её внутри рыбы, она будет такой невкусной, что только выкинуть. Обжарить на разогретой сковороде в большом количестве масла рыбу с двух сторон до хрустящей корочки и готовности внутри. Готовность проверяется ножом у позвоночника: если мясо легко отстает, значит оно готово. Затем обжарить в масле обвалянную в муке икру.;eda.ru
6;Рафаэлло;Для начала смешайте сливочное масло со сгущенным молоком. Чтобы это было проще сделать, масло должно быть комнатной температуры. Добавляем кокосовую стружку и ванилин, снова перемешиваем. Ставим в холодильник на 1 час, чтобы масса прихватилась. В это время берем миндаль. Обдаем его кипятком, после этого снимаем с него кожуру. Достаем массу из холодильника, формируем из нее небольшие шарики (на один укус), внутрь каждого шарика кладем по 1 орешку, затем обваливаем их в оставшейся кокосовой стружке.;eda.ru
7;Мюсли;Разогрейте духовку до 190 градусов. Застелите 2 противня фольгой. Выложите миндаль и грецкие орехи на 1 противень и поставьте в духовку на 10 минут до золотистого цвета. Охладите и слегка измельчите. Уменьшите температуру в духовке до 150 градусов. Выложите геркулес на 2 противня. В небольшой миске смешайте размягченное сливочное масло, мед и соль. Сбрызните медовой смесью геркулес и слегка перемешайте. Разровняйте одним слоем и поставьте в духовку на 30 минут, один раз перемешав. Геркулес должен стать золотистым и хрустящим. Переложите в большую миску, охладите и добавьте оставшиеся ингредиенты. Хорошо перемешайте.;eda.ru
8;Халва;Семечки перемалываем в кофемолке вместе с шелухой до состояния пасты. Блендером этого лучше не делать, во избежание затупления лезвий. Можно использовать мясорубку — она справится с работой, если в доме нету кофемолки. Приготовим сироп — для этого заливаем сахар водой, ставим на плиту и кипятим до исчезновения вкуса сырой воды. Не забываем снимать пену. Снимаем наш сироп с плиты и добавляем масло. Муку добавляем в пасту из семян и перемешиваем. Можно еще раз провернуть массу через мясорубку, чтобы будущая халва была воздушной. Добавляем пасту в сироп, размешиваем и выкладываем в специальную форму (можно использовать масленку с закрывающейся крышкой). Ставим халву в холодильник застывать, сверху кладем пресс.;eda.ru
9;Сливочный суп-пюре из шампиньонов;В кастрюле растопить сливочное масло и обжарить мелко нарезанный лук и грибы на небольшом огне в течение трех минут. Добавить картофель, влить 400 мл кипятка, посолить и поперчить по вкусу. Варить до готовности картошки. Влить сливки и измельчить все блендером. Подавать с гренками.;eda.ru
10;Омлет;Яйца выпустить в миску. Влить в яйца молоко. Добавить муку и соль. Тщательно взбить смесь венчиком или просто вилкой до однородности. Влить яичную смесь на разогретую с растительным маслом сковороду. Накрыть сковороду крышкой. Выпекать омлет на сковороде минут 10-15 на небольшом огне до готовности. Омлет должен подняться и пропечься. По желанию омлет можно перевернуть и обжарить с другой стороны. Классический омлет готов.;RussianFood.com
11;Картофельное пюре (с молоком);Очищенный и промытый картофель сварить, слить воду, кастрюлю же с картофелем еще некоторое время подержать на легком огне или в духовом шкафу, чтобы остаток воды испарился. После этого, не давая картофелю остыть, протереть его сквозь сито или размять деревянным пестиком, добавить масло, соль и, помешивая, постепенно подливать горячее молоко.;RussianFood.com
12;Греческий салат (с брынзой);Все ингредиенты порезать кубиками. Маслины оставить целиком. Салат порвать руками. Заправить оливковым маслом. Добавить приправы.;eda.ru
